userName,content,score,at
Muhammad Raja Fachri Buldan,Bagus si tapi ngabisin kuota gede banget 😭,4,2022-07-24 11:54:49
Atik Arlita,Bagus,5,2022-07-24 11:53:53
slamet bae,Kerrrrreeeeennnn.....,5,2022-07-24 10:37:39
Meriyana Zhang,6di ohm,3,2022-07-24 10:03:35
Mbah Jim,Baik,5,2022-07-24 09:00:13
Akmalun Tajudin,keren,5,2022-07-24 08:53:43
Meiny Maya,Sangat baik,5,2022-07-24 08:37:38
Fatimah Az-zahra,Ok,5,2022-07-24 07:59:27
Maulana Alan,Sangat bermanfaat,5,2022-07-24 05:41:33
Maman abdurachman,Manttaapp,5,2022-07-24 04:28:51
Nanda Dwi agustus,Keren banget ya,5,2022-07-24 04:28:47
Achmad Farizi,Semenjak ada ni hp saya menjadi ada iklan mulu ni aplikasi gk jelas kon**,1,2022-07-24 03:19:56
herlambang roesly,Sangat membantu dalam kerja,4,2022-07-24 03:18:37
Indra Gunawan,Terlalu besar filenya,3,2022-07-24 03:03:44
yanie,"Ini kenapa zoom saya g bisa bagikan tautan, link nya ga bisa kluar dan tersalin",4,2022-07-24 02:41:36
M. RIZKY REVIANANDA,Good,5,2022-07-24 02:24:40
Yetty Fangidae,Penggunaan mudah 🥰,5,2022-07-24 02:01:05
Stella Marish Edmon,Zoom berfungsi baik smoga awet aplikasi ini,3,2022-07-24 00:51:34
tho lo liu 7,manfaat,5,2022-07-23 22:36:51
RESDI M,"Mantap,Tingkatkan terus layanan zoom",5,2022-07-23 22:12:40
Akalili,Mantab,5,2022-07-23 18:39:09
Sumiyati Yati,Zoom membuat mudah berkomunikasi dalam jarak jauh lebih aman dan baik.,4,2022-07-23 15:34:26
Narariya,Verry good,5,2022-07-23 15:30:40
Beni Apriatna,Good,5,2022-07-23 13:47:29
Ramlan Gumilar,Mantap,5,2022-07-23 13:14:02
Annida Nabila Al Arsy,"Knp waktu aku ngomong yg sana gk kedengeran coba?!! Padahal aku udh gk di mute, ih sebel tau!",5,2022-07-23 13:01:58
Sumayyah Bin Bin,Baik,5,2022-07-23 12:45:19
Jalaludin Jalaludin,Luar biasa aplikasi jom sangat membantu sekali,5,2022-07-23 12:32:27
Djonni Iskandar,Tingkatkan terus spesifikasinya. Good Job 👍,5,2022-07-23 12:11:08
Triharyanto Ryan,Sangat bagus apl nya,5,2022-07-23 10:47:23
Haikal Firdaussi.15,Nguras kuota,2,2022-07-23 09:33:51
MBA Diah,Masih nyoba,5,2022-07-23 08:41:11
"SuTarji ,",Bagus,5,2022-07-23 07:58:56
martha sampe,Dp,5,2022-07-23 07:27:31
Syaputra akbar74,Bagus,5,2022-07-23 07:19:37
Agung Kristianto,Sangat membantu sekali untuk meeting apalagi d masa masa ini.... Cuma sayang hp saya redmi note 11 tidak suport untuk mengganti background virtualnya....alangkah bagusnya kalo d apgrade...bisa suport ke hp saya...,4,2022-07-23 07:08:42
Komodo Flores,🤘👍,5,2022-07-23 07:06:54
Ario sepriyanto,"Udah update tambah ribet, jadinya aneh",1,2022-07-23 05:52:58
Devilia Susmiati,Oke,4,2022-07-23 05:32:39
Daqifa Store,Sangat bermanfaat sekali dengan adanya aplikasi ini,4,2022-07-23 05:30:37
Muhamad Syafrizal,Ok,5,2022-07-23 04:53:30
Dewi Een,Lumayan membantu,5,2022-07-23 03:35:35
andi harnoko,Good,5,2022-07-23 03:09:44
Srida Ayu UBBG Ayu,knpa gak bisa diinstal?,1,2022-07-23 02:51:48
Andhita Sulistyono,Banggg😭😭 kenapa saya tidak bisa menginstal zoom saya sebenarnya mau zoom Online,5,2022-07-23 02:44:44
Senku,Keren cuy,1,2022-07-23 02:15:36
Mochammad Nawawi Abror,Terus tingkatkan kwalitas,4,2022-07-23 01:52:12
Abdurrafi Awaludin,Bgus,5,2022-07-23 01:15:51
Muhammad Dental official,Ok,5,2022-07-23 00:24:07
Anari Soares,Anary Ramor,5,2022-07-22 21:26:36
Sophia Mpa,Afrizal Martapura 🇮🇩🇲🇲🇦🇿🇰🇲🇱🇾🇪🇭🇩🇿🇦🇪🇲🇻,5,2022-07-22 21:10:29
Aris User,Aplikasi yang sangat bagus,5,2022-07-22 21:03:06
Andi Lala,Ok,5,2022-07-22 19:45:42
Angkur Domenique,Mohon saran dan masukannya aplikasi zoom cloud meeting gagal di buka setelah sukses di update versi terbarunya🙏🙏,5,2022-07-22 18:27:54
Adib Misbahuddin,Kok gak bisa di instal,5,2022-07-22 16:26:47
Rangga Sabono,Terimakasih sangat membntu🙏,4,2022-07-22 16:26:07
ufik,Terbaik,4,2022-07-22 15:49:45
Set Siatta,So good,5,2022-07-22 15:03:46
Jamariah Linta,Jelek,1,2022-07-22 14:46:34
jalaluddin siregar,Yowebend👉,5,2022-07-22 14:36:38
Ja he,Sangat baik,5,2022-07-22 14:13:25
Adit Yudha Pratama,Nice,5,2022-07-22 13:45:59
Ilham 2021,Jos,5,2022-07-22 13:04:12
arman hanafi,sangat membantu dan memudahkan,5,2022-07-22 12:44:49
Bagus Hariyanto,Ok Bagus,5,2022-07-22 12:41:14
Amo Laiyan,Keren,5,2022-07-22 12:25:10
esti hermayani,Sangat bagus,5,2022-07-22 11:49:46
kakang bale,Sangat baik,5,2022-07-22 09:23:17
Salwa salwa,aplikasi ini sangat membantu 😍,5,2022-07-22 09:11:09
Amisri Deningsih,Enak buat meeting hening,5,2022-07-22 09:10:46
azka maulina,Sangat membantu,5,2022-07-22 09:06:17
Nuryati Winandari,Good,5,2022-07-22 07:43:51
Anita wandanaya,Update nya lama memakan waktu,1,2022-07-22 07:24:45
sugi wandoko,Oke,5,2022-07-22 07:16:37
Rifky Ramdan,Tolong di tingkatkan lagi yahh baru aku kasih bintang fulll,4,2022-07-22 06:19:05
ade soma,Oke,5,2022-07-22 06:15:59
Zhodank gojek fitriani,Mudah2 han bisa membantu,5,2022-07-22 05:37:38
Salman Salman,Ril cuy nih apk bagus,1,2022-07-22 05:19:56
muhammad hamzah,Mantap,5,2022-07-22 02:20:14
Ikhwan Agung Nugroho,Gak bisa ganti background 😭,3,2022-07-22 02:11:06
ronie boediansyah,"Susah masuk dan susah menggunakannya, ribet",1,2022-07-22 02:01:47
Septa Tobing,Sangat bermanfaat,5,2022-07-22 02:00:46
Kristian Deny Sirupa,Bagus,5,2022-07-22 01:56:12
Iswan Aramiko,"Tolong tingkatkan lagi nak ya, papa bangga padamu...",3,2022-07-22 01:37:37
Sahyul Yoel,Good,5,2022-07-22 01:26:51
Ahmad Nasir Pulungan,Mantaps,5,2022-07-22 01:23:03
Alexander Adam Aditya Aji,Bagus,5,2022-07-22 01:18:05
rifky adityapratama,10000000000 10000000000 Baik bangat oran,5,2022-07-22 01:04:54
Bang AL,Ok,5,2022-07-21 13:48:24
Zul FIKRI,Mantap👍,5,2022-07-21 13:47:53
muhammad sujadi,Sangat membantu Untuk bekerja,4,2022-07-21 13:33:12
Generasi Hebat,Bagis,5,2022-07-21 13:07:10
Purwanto,Best,5,2022-07-21 12:52:25
iqbal rosyid,Sekarang login pake google kg ga bisa ya?,3,2022-07-21 12:30:20
Silvia Amanda,Coba aja di android juga bisa pakai background,5,2022-07-21 12:17:05
Dzulkifli Kalla,Ok,5,2022-07-21 11:44:45
tita fau15,Kereeen,5,2022-07-21 10:16:30
Fauzul Mahiroh,"Aplikasi yang sangat membantu sekali ketika ingin melakukan meeting atau acara lainnya yang memerlukan video. Namun ada beberapa masukan nih, terutama untuk merubah backscreen. Ternyata pada android saya Samsung j4+ dan beberapa mungkin smartphone lain juga sama belum bisa support fitur ini. Mohon kedepannya fitur sudah bisa maksimal😭",5,2022-07-21 09:27:32
Firdaus Gayo,Good,5,2022-07-21 09:21:28
Reni Fernando,Saya coba dulu,4,2022-07-21 08:23:53
joko santoso,ok,5,2022-07-21 07:43:24
Eneng Indah Dahlia,Sangat berguna untuk mencari uang🤑,5,2022-07-21 06:56:55
Saripa Ipha,Good,4,2022-07-21 06:56:08
Rudi Yanto,Mantap,5,2022-07-21 06:39:00
Fitri Fithonk,Berguna buat seminar daring,4,2022-07-21 06:20:53
Nathanael Tansenjaya,Zoom kenapa ya jadi sangat jelek saat saya pakai wifi putus sambung putus sambung ini aja putus nya sampai keluar dari zoom mohon perbaikan nya karena selama saya pake paket data lancar lancar saja gak ada masalah,1,2022-07-21 05:36:17
Ahmad Syauqi,Ok,5,2022-07-21 04:58:50
Sidik Riyanto,Sangat membantu pengguna utk beraktifitas bersama grup/ kolega lebih praktis 👍,5,2022-07-21 04:21:41
Djoko Kondo,berguna sekali,5,2022-07-21 04:00:35
Ratna Ningsih,susah di buka,1,2022-07-21 03:02:01
Edy Bastiar,Oke,5,2022-07-21 02:58:17
USMAN S.E.,Good,5,2022-07-21 02:53:58
Novia kristina Kristina,Sangat membantu saya untuk zoom tiap hari buat ibadah terimah kasih zoom bener bener sangat membantu sya.,5,2022-07-21 02:21:32
Tristan labib Khairullah,Gg,1,2022-07-21 02:18:45
INDOSIN Slebeww,Ngelek bet :v,5,2022-07-21 02:16:47
Yungyi Yusda Zakiyah,Jos,5,2022-07-21 02:14:49
Omar Boegis,Tingkatkan performance kerja,5,2022-07-21 02:11:51
Cania fitria Gella,Gk bisa dipakai,1,2022-07-21 02:07:17
fadli adi,Lek banget,1,2022-07-21 01:30:24
Rustam A,Ada sedikit masalah 🗿🗡,1,2022-07-21 01:00:30
rirybasir,Anjazz kelazz,5,2022-07-21 00:53:35
Sunjoto Dr,Memuaskan,5,2022-07-21 00:29:25
Safitri Barita,gh,5,2022-07-21 00:19:18
Fitria 2010,Zoom ini bagus sekali aku sangat suka,4,2022-07-20 23:19:34
Joni kristanto,Baik,5,2022-07-20 22:45:49
Eron Halla,Agak bagus,2,2022-07-20 21:13:00
Zanie Smart,Ok,5,2022-07-20 19:35:12
Bambang Hendro Handoko,Keren,5,2022-07-20 17:18:09
Kemas Muh syarif,Sangat bermanfaat,5,2022-07-20 17:16:48
Asep Kasiyanto,Mohon di perbaiki lagi terutama di virtual background Kalo bisa untuk semua tipe hape kak karena banyak yang belum bisa menggunakan fitur tersebut terkendala di spesifikasi hp,3,2022-07-20 16:21:05
Toni Jepara,Bagus apl ini,1,2022-07-20 15:44:40
anfuwa tjandra,Sangat membantu aktifitas saya,5,2022-07-20 15:27:48
Budi Gieto Priyadi,Enjoy,5,2022-07-20 13:49:26
Asni Rahayu,👍👍👍👍👍,4,2022-07-20 13:40:46
Sulis Tiono,Ok,5,2022-07-20 13:30:31
Ida Fitri Medyaningrum,🤩🤩🤩,5,2022-07-20 13:11:13
putra mandiri Chanell,Buat bisnis bagus baget,5,2022-07-20 13:05:20
Dian Handayani,Good apk,5,2022-07-20 13:04:22
rahimsyah Syah,Bingung,5,2022-07-20 12:40:00
Aan Asiah,Bagus dan jelas,5,2022-07-20 12:30:09
Iim Rohimah,Keren,5,2022-07-20 12:16:50
Samsul Anis,Good,5,2022-07-20 11:38:53
Helmy Lazuardy,Great,5,2022-07-20 11:30:24
Randy Prayoga,Sip mak,5,2022-07-20 11:24:57
Adam Pabeta80,Ok.,5,2022-07-20 11:22:00
PIPIN RAMDANI,Thanks zoom .,5,2022-07-20 10:45:21
Farel TM,Wow,5,2022-07-20 10:35:40
Allheaven Allheaven,I like,5,2022-07-20 10:33:54
wahyuningsih endang,Bagus waktu lebih efisien pakai zoom meeting,5,2022-07-20 10:33:10
Alwin Didarman Nehe,Gak bisa ganti background,1,2022-07-20 10:17:32
ARETA LANA LITUHAYU,Bagusss bangettt,5,2022-07-20 10:06:47
Sarnoto Bukhari,Baru coba,3,2022-07-20 09:38:59
Mufid Mustain,"Sudah bagus, tapi perlu di tingkatkan lagi",3,2022-07-20 08:54:17
Irwan Keren,Permudah komunikasi banyak orang sekaligus,5,2022-07-20 08:47:54
Agus Wijaksono,ok,5,2022-07-20 07:51:02
Muhammad Alfian,Ok,5,2022-07-20 07:47:48
Andi Saputra,Masih mending google meet,1,2022-07-20 06:55:23
Tn.Google,"Bagus sekali developer, sudah support untuk Bahasa Indonesia!",5,2022-07-20 06:08:17
Muhammad Salim,Mantab,5,2022-07-20 06:03:58
Ferjandi Jonatan,• Good 4/ meet on #wfh._,5,2022-07-20 06:00:27
Fiqi Milano,Pool,4,2022-07-20 05:58:43
Arief Inez,Bagus,5,2022-07-20 05:49:50
Agung Sulaksono Saputra,Mantul pisan,5,2022-07-20 05:33:45
Deni Rodendo,Bagus,5,2022-07-20 05:21:06
Arif Sujana,Bagus,5,2022-07-20 04:47:02
Fathan Fadhilah,goks,5,2022-07-20 04:24:41
Yudha Komara,Nice app,4,2022-07-20 04:11:48
Alwi Gibran Shalih Harahap,👍👍👍,5,2022-07-20 03:43:13
Doli Ramayana,Mantap,5,2022-07-20 03:10:07
Putri Suryaningrat,Sayang ga bs isi background,1,2022-07-20 03:01:14
Lord Verdi,Aplikasi yang GG untuk belajar 😎😎😎😎,5,2022-07-20 02:51:44
De Yusman,Mantaapp,5,2022-07-20 02:10:45
Kurniadi Kurniadi,Ok,5,2022-07-20 02:07:23
Anas Abidin,oke,5,2022-07-20 01:56:12
Amin Pujiyanto,Sangat membantu banget,5,2022-07-20 01:44:45
Bunga refalyna Fitri ardiansyah,Wooow,5,2022-07-20 01:27:23
Dg Sija,Bagus,5,2022-07-20 01:25:27
Emii Lifiyyah,Yes very good,5,2022-07-20 01:05:02
Setiyo Nugroho,Bagus,5,2022-07-20 00:59:42
Agoes Poedjiyanto,Terbaik,5,2022-07-20 00:55:16
hariawati jamal,Bgus,5,2022-07-20 00:35:41
Imanuel G2022,"Media yang sangat mempermudah interaksi, percakapan dan komunikasi antar daerah, kota bahkan sampai ke luar negeri.",5,2022-07-19 23:07:25
H ABDUL Nasir,Kalau suara cukup kuat dan jelas diterima kalau telpon masuk.,5,2022-07-19 17:42:12
Muhammad Fadilah Dzikri,Apakah fitur spotlight sudah tidak ada di Zoom? Karna sy cek kok gaada,3,2022-07-19 16:08:56
Jims Rimba,Good,5,2022-07-19 15:09:45
Saleh Muhammad,Ba dipakenkerja,5,2022-07-19 13:49:25
Endang Judiastuti,untuk mengikuti sulit masukx padahal aplikasi Zoom dah tak donwlod bagaimana ini,5,2022-07-19 13:35:59
ikh_one 03,Terkadang ngebug setiap mau memulai meeting.. dan tolong lebih ditingkatkan lagi,4,2022-07-19 13:23:28
Erwin Permana,Recomended,5,2022-07-19 11:41:58
Kayla Adistya Ramadhani,Aplikasi bagus. Rekomended..,5,2022-07-19 11:32:41
Bee Droid,Top,5,2022-07-19 10:13:14
Fajri Bandung,Ok,5,2022-07-19 09:07:15
Gunawan Atomy 313 Team,Good,4,2022-07-19 07:32:23
Abu Najib,Ok,5,2022-07-19 06:31:22
janfird fird,Nice app,5,2022-07-19 06:09:58
SOVIATUL RAHMI,Sumpah mau sign in aja susah bgt,1,2022-07-19 05:39:17
Engga 12,"Sangat tidak bagus.......................,....................,...............................................,..................................................................................................................................................................................................................,,....................................................................................................cetot",5,2022-07-19 05:29:09
Ainun Mardhiah,Zoom meeting memang ok sangat membantu untuk komunikasi virtual😍,5,2022-07-19 05:26:16
Toety Darmastoety,Baik,2,2022-07-19 03:50:48
arik prastyo,Mantap,4,2022-07-19 03:20:01
Ady Prasetyo Nugroho,Ok banget,5,2022-07-19 03:07:52
Senp4i FF,"Ini apk sngat membuat jam istirahat saya makin lama,tpi sya senang untuk tidak mengerti",1,2022-07-19 03:00:04
Afya Ulul,Sungguh menyebalkan.. setelah update malah gabisa join zoom... Mohon solusi,1,2022-07-19 02:45:03
Catrien Shofiya,"Cukup menganggu apabila harus mengupdate zoom, maka tidak bisa membuka zoom meet secara langsung melalui link, aplikasi harus di update baru bisa join zoom meet.",2,2022-07-19 02:21:34
Junaidi Junaidi,Baik,5,2022-07-19 01:33:08
ADAM S.D,Ndak tau kok tanya saya,5,2022-07-19 00:40:57
Andriko Tomansyah,"fitur mute nya tolong dibenarkan, diam diam ga mencet apapun tau tau ke unmute",1,2022-07-19 00:09:22
Blessed /icha p1,Good jobs,5,2022-07-18 21:36:36
Benjol Jol,Oke-oke okeh okeh okeh okeh langsung ke okokokojokeokoe,5,2022-07-18 20:13:58
edison Gulo,Sanagat bagus,5,2022-07-18 19:14:22
INDONESIA ROJIKIN,oke,5,2022-07-18 16:40:10
Pengguna Google,good,5,2022-07-18 16:33:51
Saijaan vlog,"Gak bisa masuk untuk meeting, Lemot, Saat mendesak susah, Aplikasi payah",1,2022-07-18 13:49:45
Felicitas Jonan,Luarbiasa Sangat membantu,5,2022-07-18 13:46:46
Anggista Citra,Makin ribet,3,2022-07-18 12:11:44
Thiefa KID_,"Spek hp seperti apa yg bisa ganti BG? Di hp lain bisa, tapi punyaku tidak bisa",4,2022-07-18 10:33:05
Abdul Malik,Tidak ada virtual background untuk di beberapa hp dan laptop.,2,2022-07-18 09:58:24
kamisuke aryamura,Banyak orang yang memperjual belikan dengan modifikasi....,5,2022-07-18 09:42:14
Ikrar Pramudya,Ok...,5,2022-07-18 08:39:43
Dhony Afrizal,Top,4,2022-07-18 08:29:11
eka Dasha,Sangat bagus,5,2022-07-18 08:05:11
Darni Yusna,bagus,1,2022-07-18 07:16:21
Rahmat Taufik,Ok lah,5,2022-07-18 06:50:06
Yudha Pratama,Saya belum nemu caranya ganti background di zoom lewat android ini.,3,2022-07-18 06:26:02
I Made Widyantara,Bagus cuma belum ada setingan untuk backgroundnya,5,2022-07-18 04:56:15
Syukri syeh,Nagaya hold mantap,5,2022-07-18 04:34:00
Rc Oppowwqq,Good,5,2022-07-18 04:27:05
Oklin Pakili,Untuk HP Samsung A13 belum bisa ada vitur background mohon untuk ditingkatkan lagi,4,2022-07-18 04:08:58
Jack Firdhaus,Sangat terbantu dg aplikasi Zoom Utk regular meeting kami,5,2022-07-18 03:42:17
Galih Tri P,Tiba-tiba on cam keluar sendiri dan on cam sendiri,1,2022-07-18 03:38:48
Megawati Nikomang,App sangat membantu,5,2022-07-18 03:35:04
Warda Alimuddin,Mantap,5,2022-07-18 03:22:04
나를나를,Kenapa punya saya tidak mau terdownload ya?,5,2022-07-18 03:17:57
Rusma Hartini,"Mengapa setelah selesai download, saat mau install malah gagal",3,2022-07-18 02:15:47
KENZI LUCU,ok,5,2022-07-18 02:01:55
Arkha Kenji Pratama,Zoom anak baik,5,2022-07-18 02:00:07
saeful hakim,Ok zoos,5,2022-07-18 01:59:32
BravN,Ngelag,1,2022-07-18 01:48:46
Nenshi Sanggalangi,Susah di download maksud nya kayak di larang sama play store,3,2022-07-18 01:47:25
Dilevan Chanel,Cara perbaharui versi yang Ter baru bagamana,4,2022-07-18 01:40:07
Rafly Arrasyid,Download nya mohon dipercepat 🙏,5,2022-07-18 01:21:39
hendra prasetyo,Mantap,5,2022-07-18 00:20:44
Naila Aprilia,Jelek'buat pelajaran,1,2022-07-18 00:08:45
Galih Wangi,Bagus,5,2022-07-17 23:55:29
akka makkarateng,Sangat simpel dan gambar yg tajam,5,2022-07-17 23:16:54
Paulinun,Ia,5,2022-07-17 20:34:02
ISAIAH IMAM MAWARDI,Ok,5,2022-07-17 20:01:25
Bilalabizar Selian,Bagus,5,2022-07-17 18:08:27
Bintan Rosyadaa,Zoom aplikasi orang kaya🥲bagi saya yg cuma bisa beli hp biasa gak support sama fitur virtual beground yg tidak ada😭semoga zoom welas asih,4,2022-07-17 17:03:57
Flegon Helly,Mantap,5,2022-07-17 15:56:58
Ridwan Salam,Bermanpaat,5,2022-07-17 15:56:58
Sudarno Depok,Baru coba,4,2022-07-17 13:02:03
Huy Huy,Keren,5,2022-07-17 12:54:11
Ataya Zaidan,Gak bisa login pake google Dari website error gak buka zoom,1,2022-07-17 11:50:57
sarni azlina harahap,Lancar aj,5,2022-07-17 11:46:54
Kriston Turnip,bagus banga,5,2022-07-17 11:17:43
Junaidi Bang,Bagus,3,2022-07-17 11:11:45
Rara Via,bagus,5,2022-07-17 10:39:04
Umy Rizieq,Lumayan.,5,2022-07-17 10:13:07
Menik Hertriani,Good very much,5,2022-07-17 08:52:45
Satria Kurnia Wicaksono,Saat gunakan headset mic tidak bisa digunakan,1,2022-07-17 08:36:09
Siti Aisyah,Bagus,4,2022-07-17 08:10:45
Hanapi Hanapi,App nya bagus banget gue nya aja yang jahat,1,2022-07-17 07:47:24
Ridwan Sibungsu,Bagus,5,2022-07-17 07:13:18
Annisa Rahmawati,Kenapa tidak bisa menginstal??????,1,2022-07-17 07:09:47
irul pradana.,Sangat membantu sekali untuk kelancaran pekerjaan,5,2022-07-17 05:58:00
Maria Magdalena,Bagus aplikasinya membantu proses pembelajaran daring,5,2022-07-17 05:18:03
vide lestari,ok,5,2022-07-17 04:52:27
Angel Bao,Oooo OOOoo OOO 9 OOO P Mm Nikn Kk Z Engge Lm7,3,2022-07-17 04:51:47
hari prasetya,Top..,5,2022-07-17 04:14:11
Saskia Nur Ramadhani,PARAHHHHHH gak bisa ke download ngabisin kuota taikkkkk Sekali dua kali gapapa tapi ini 5x dicoba gak bisa padhal memori saya aman kuota aman,1,2022-07-17 03:19:00
Adi Apri,Baik,4,2022-07-17 03:10:40
Yuni Oke,Siip 😊,5,2022-07-17 01:25:32
Lukman Inem,not use background 1,1,2022-07-17 01:09:43
Suwondo Sp,Baik,2,2022-07-17 00:50:28
Rini Afni,Ahay,1,2022-07-16 23:54:23
Restaurant Kaisarea,Perfect!🌹,5,2022-07-16 19:45:13
Sedaron no,Makasih. Karena luar biasa,4,2022-07-16 16:40:51
Hirman Lasariwu,Aplikasinya bermanfaat,5,2022-07-16 14:46:58
Dinda Yulia,Sanvat bAGUUs aplikasiNYa,5,2022-07-16 14:08:33
Angtjoejen Jintawong,"saund and picture clear, thx you",5,2022-07-16 14:04:49
Chiko Love,Nice,5,2022-07-16 13:40:39
Puji Lestari,Sangat bermanfaat,5,2022-07-16 13:40:02
Susi Apriyani,Ojeyyyyyyyyy,5,2022-07-16 11:04:53
Ismail Debong,Good,5,2022-07-16 10:41:37
Id'am Maulana,Zoom noob,5,2022-07-16 10:13:01
Rosniati Ummu Fathur,The best,5,2022-07-16 09:35:28
Paulus batlayery Oncobat,Sangat bagus,5,2022-07-16 08:06:43
Nisrokhah Nurmufida,Zoom aplikasi nya membantu banget setiap hari saya gunakan aplikasi ini berfungsi dengan baik terimakasih banyak.,5,2022-07-16 07:49:44
Raisa Faradilla,Iwia8a,2,2022-07-16 05:19:44
Galih Hari Wijaya,Memudahkan online,5,2022-07-16 04:45:37
mom richard zega,Mantap,5,2022-07-16 04:35:54
Hafiyyan,Bug share sreen,2,2022-07-16 04:06:39
Ali Hasibuan,Mantap,5,2022-07-16 03:29:06
Dorji Garwang,Bagus,5,2022-07-16 03:22:44
sugeng heri dwiyono,Mantap,5,2022-07-16 02:51:31
Selina Gand,"Kenapa ga bisa di dowlaond kuota+jaringan+memori oke tapi tetep , ni parah",3,2022-07-16 02:29:36
Rikardus BTC,Aplikasi zoom sangat memuaskan,5,2022-07-16 02:22:56
Yusrio Andika,Bagus sekali,5,2022-07-16 02:14:30
Brian Awiruddin,Layanannya sangat bagus dan membantu saya melakukan virtual meeting dengan mudah dan nyaman. Sediakan zoom premium dengan terjangkau!,5,2022-07-16 02:11:48
Andika Risyanto,Sangat bermanfaat 👍,5,2022-07-16 02:03:06
IBRAHIM. ST,Bagus,5,2022-07-16 02:01:23
Dewi Arizka,"virtual backgroundnya tidak muncul, padahal sudah diupdate.",4,2022-07-16 01:50:41
Andi Asriani,Bagis,5,2022-07-16 01:47:21
said azis alatas,Dari beberapa hp tidak bisa pasang VB,3,2022-07-16 01:46:24
agung,Mantap,5,2022-07-16 01:38:09
Rpro Entertainment,Ok,5,2022-07-16 01:23:50
emil salim,Sangat membantu sekali,5,2022-07-16 01:14:47
Rizqi Rosyady,tidak bisa diinstall,1,2022-07-16 01:11:36
Suparli Parto Putranto,Okao,5,2022-07-15 21:03:54
Kristina Novalia Siagian,Sangat membantu,5,2022-07-15 16:57:16
Fatimah Fatimah,Pokoknya ok banget,5,2022-07-15 14:49:46
ali wau,Bgus pokoknya,5,2022-07-15 12:54:21
alif Hamdi,"Zomm nya dah bagus,,, tingal kasih begron kalo bisa bawaan dari zom biar enak itu aja sih saran saya makasih🙏",5,2022-07-15 12:53:50
Rohimat Tea,ok,5,2022-07-15 12:49:27
robi mochamad,good,5,2022-07-15 12:33:26
Gracella ratnasari,Baik,5,2022-07-15 12:26:40
Budi Uto,Mantap,5,2022-07-15 12:26:01
Trio Setiawan,Jhj,3,2022-07-15 10:08:10
zainul arifin,Empat dulu...kalo oke sy kasih 5 bintang,4,2022-07-15 10:00:45
Jayadin Arif,Good,5,2022-07-15 09:43:21
Yasmin Tan Official,Lancar,5,2022-07-15 08:15:18
Penjual Sayur Organik,Sangat baik,5,2022-07-15 08:13:13
Suatri Ari,Bagus dan sangat membantu,5,2022-07-15 07:17:30
Nur Rahma H 25,Baguss,5,2022-07-15 07:06:17
Sudirman Cono,Sangat membantu dlm rapat kerja,5,2022-07-15 07:02:40
PASUKAN YIKWA,Kuliah,5,2022-07-15 06:37:24
Yandi Selan,👍🙏,4,2022-07-15 06:28:52
Rifki Irawan,Sangatlah keren,5,2022-07-15 04:26:18
DARIUS MAKA,ok,5,2022-07-15 03:02:45
Muh. Alif Ilham,Pakintaki,5,2022-07-15 02:49:44
Nini Hasniati,Curang,1,2022-07-15 02:12:46
I GUSTI KETUT INDIRA S,"Bagus dan berguna adick"" Lopyu",4,2022-07-15 01:56:22
Sandy Prayoga,Ok laa sejauh ini tidak ada kendala,5,2022-07-15 01:56:19
Win Anto,Ook,5,2022-07-14 21:27:39
Syamsul Arif,Terima kasih,5,2022-07-14 20:33:20
Sisco Swanto,Help full,5,2022-07-14 15:36:09
Shinta Rahmawati,Tadi sya instal terus uninstall soalnya nyari language kok gada pdhal udah masuk ke setting dan general yang ada ringtone doang,3,2022-07-14 14:37:39
Imam Gazali,Bagus,5,2022-07-14 14:14:32
Ridwan Sholeh,Virtual backgroundnya ngga bisa... Sedih hanya HP tertentu aja yg bisa. Payaaah.,2,2022-07-14 13:54:25
Chorinthians Gabriell,"diharap untuk virtual background diadakan untuk semua jenis handphone, karena itu akan SANGAT- SANGAT membantu penggunaan nya.",4,2022-07-14 13:17:35
Eden K. Soeardi,Good media,5,2022-07-14 13:09:33
Joko Sarib,Keerreeennn,5,2022-07-14 12:35:06
Keysa Ghefira.P.N,Lumayan bagus,4,2022-07-14 11:46:57
Oppo Raha,Bagus,5,2022-07-14 11:27:57
nova setia magdalena,Keren,5,2022-07-14 10:58:27
Lena Gultom,Bagus,5,2022-07-14 10:49:34
masari setiabudi,Nice app tks for your services,4,2022-07-14 09:10:55
Dedi tea,Ok,3,2022-07-14 08:05:30
Eggy Ndate,8p,3,2022-07-14 07:41:16
Bardan,It's ok.. Aplikasi yang sangat bermanfaat.,5,2022-07-14 06:20:56
Ners Imha,Good,5,2022-07-14 06:17:18
Muhammad Rizqy Ramadhani,"Ga bisa ganti background, cuma Disconnect audio ,chat, meeting setting doang. Pasrah aja lah, padahal mau pkkmb harus ganti background",3,2022-07-14 06:02:47
Priyo Jono,kurang paham,3,2022-07-14 04:46:12
Fitriani Teknikal Gigi,Sangat membantu,5,2022-07-14 04:35:05
Sotolamongan Cakkenthung,Joz,5,2022-07-14 03:40:15
Muhammad Akmal,mantul,5,2022-07-14 03:37:58
fransisko jeke,Baguysss,5,2022-07-14 02:50:31
taufik hidayat,Ok,5,2022-07-14 02:31:53
mujilas tuti,Sangat memuaskan,5,2022-07-14 01:47:01
arisandy eric,Good,5,2022-07-14 01:45:21
Arya Arya,Bulogading racing aduhhhhhhhhhhhhhhhhh,5,2022-07-14 01:32:32
Singgih Tri Prabowo,Setelah update virtual background malah hilang,3,2022-07-14 01:22:28
