,content,score,English
1197,Tolong tambahin fitur my virtual background di hp ntr sy ksh 5 bintang,1,"Please add the my virtual background feature on my next cellphone, I will give it 5 stars"
1198,Bagus,5,Good
1199,??,1,??
1200,Bagus,5,Good
1201,"Aplikasinya bagus, tapi tolong agar bisa ke bahasa Indonesia",1,"The application is good, but please make it into Indonesian"
1202,Oke,5,Okay
1203,Bagus,4,Good
1204,Good,4,good
1205,Siip,5,Siip
1206,Sangat baik,5,Very good
1207,Good,5,good
1208,Jelek banget,1,Really ugly
1209,Not cool,1,Not cool
1210,Untuk,2,For
1211,Bgs,5,Bgs
1212,Keren.....????????,5,Cool.....????????
1213,Diinstal tidak bisa,1,Can not be installed
1214,Wa,5,Wa
1215,Mayan,5,Mayan
1216,Bagus ??,5,Good ??
1217,Karena aplikasi ini saya jadi sering beli paketan,3,"Because of this application, I often buy packages"
1218,"Tolong developer zoom untuk memperbaiki virtual background nya, saya minta virtual background nya bisa untuk semua hand phone",2,"Please developer zoom to fix the virtual background, I ask that the virtual background can be used for all mobile phones"
1219,LAKIK!!!,5,BOY!!!
1220,"Baik,",4,"Well,"
1221,aplikasi nya good tapi cara amasuk nya kurang bnyak yg gak ngerti,1,the application is good but the way to enter is not many who don't understand
1222,Cukup baik..,4,Pretty good..
1223,Aplikasi nya bagus banget sumpah??? Gua aja klo ada zoom meeting selalu pake yg ini???,5,"The application is really good I swear??? Me, when there's a zoom meeting, I always use this one???"
1224,Trmkhsh bntuanya ??,5,Thanks for the help??
1225,Teruntuk fitur rekam rapat harap di kembangkan lagi. Agar semua anggota dalam rapat dapat merekam rapat tanpa harus perizinan dari host,4,"For the meeting recording feature, please develop it again. So that all members in the meeting can record the meeting without having permission from the host"
1226,Wow kita bisa belajar,5,Wow we can learn
1227,"Ini bagus sih, cuma virtual backgroundnya gabisa di semua hp:(",4,"This is really good, only the virtual background doesn't work on all cellphones :("
1228,Sangat buruk. Signal dah oke tetap suara putus putus.,5,"Very bad. The signal is okay, but the sound is broken."
1229,Aplikasi yg sangat membantu,5,Very helpful app
1230,Ga bisa pke background aneh,1,Can't use weird backgrounds
1231,Baik,5,Well
1232,B aja app nya,3,B just the app
1233,"Bagus bngt, tapi sanyangnya masih versi 5.7.1 aku pningnya versi 5.3.0 biar ada virtual backgroun nya",5,"It's really good, but sadly it's still version 5.7.1, I need version 5.3.0 so there's a virtual background"
1234,Bagus banget haiaiiaiiaiiaiaiiaiai,5,It's really good haiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii
1235,Kok lama donlod nya ya....,5,Why did it take so long to download....
1236,Bagus,5,Good
1237,Assalamualaikum warahmatullahi wabarokatuh aplikasih nya aangat good??,3,Assalamualaikum warahmatullahi wabarakatuh the application is very god??
1238,Bagussssss bgt,1,Very good
1239,"Tolong terus dikembangkan terutama virtual background untuk hp spesifikasi tertentu tidak terlalu tinggi, jadi bisa ikut merasakan fasilitas tersebut",5,"Please continue to develop, especially the virtual background for certain cellphones, the specifications are not too high, so you can feel the facilities"
1240,"APK JELEK! GARA GARA ADA ZOOM, SAYA DI KASI BANYAK TUGAS??",5,"UGLY APKs! Because of the zoom, I was given a lot of assignments??"
1241,Apl bagus banget kok,5,It's a really good app
1242,Mantap.. bs meting orang bnyak,5,Great.. the boss meets a lot of people
1243,Bagus,5,Good
1244,Gk bisa woy app apannn masuk join grub malah keluarrr??????,1,"I can't, wow what app did you enter and join the group instead of leaving?????"
1245,mantap,5,steady
1246,Biasa ajaaaaaaaaaa,5,Just normal
1247,???,4,???
1248,Gimana cara daftar nya bgst,1,How do you register it really?
1249,Good,4,good
1250,"Apl ini di pakai untuk sekolah , saya tidak ada ulasan lagi , TERIMA KASIH",5,"This app is used for school, I don't have any more reviews, THANK YOU"
1251,Bagus nih zoom,5,It's good zoom
1252,Termakasih,5,Thank you
1253,Suka banget sama apk ini,4,I really like this apk
1254,Nggak seru,1,Not fun
1255,AMAZING,5,AMAZING
1256,anj payah gk bisa liat beha org,1,poor kid can't see people's bras
1257,Apl.ini Bagus banet,5,This app is really good
1258,Plisssss aku ingin sekali belajar pakai apk ini tapi mengapa tidak bisa untuk ku instal,5,Plsssss I really want to learn to use this apk but why can't I install it
1259,tolong dong tambahin background buat vivo ini ga bisa plis banget pdhl udah ver terbaru,2,"please add a background for vivo, it doesn't work, it really doesn't work even though it's already the latest version"
1260,Apl apaan ga bisa diinstal,1,What app can't be installed
1261,Gak bisa virtual background,1,Can't virtual background
1262,Ini gmn g bisa download,1,How can this not be downloaded
1263,Aplikasi ini susah banget d download ??,5,This application is very difficult to download??
1264,Bagus,5,Good
1265,Jelek amat ih,1,It's so ugly
1266,Good,5,good
1267,saya belom pernah nyoba aplikasi ini??,5,I have never tried this application??
1268,Bgus,5,nice
1269,Apk Zoom ini sangat bagus,5,This Zoom apk is very good
1270,Bagusssssss,5,Nicesssss
1271,Ppp,5,Ppp
1272,Error,1,Error
1273,kenapa ga terpasang terus:(,3,why is it not installed :(
1274,9bagus,5,9good
1275,"Membuat kami tidak ada hari libur, sebentar2 rapat pake zoom, sehari bisa 3x rapat, bahkan hari minggu juga ??",1,"So that we don't have a day off, meeting briefly using zoom, we can have 3 meetings a day, even on Sundays too??"
1276,Mantap,5,Great
1277,bagus tpi tolong bug ny diperbaiki ya,5,it's good but please fix the bug
1278,Boros kuota,1,Wasteful quota
1279,Cara pake backround di andorid? Agar lebih seru gitu,4,How to use background on android? To make it more fun
1280,"Oy aku udah downlod 5x gak bisa gimana woy tolong lah masak ngulang terus buang"" kuota ajg",1,"Oh, I've downloaded 5 times, I can't, how can I please cook, repeat and then waste quota"
1281,Apk y gk berguna bangat pliss ????,1,Apk y is not really useful pls ????
1282,???,2,???
1283,"ketika kelas online : Guru: Kaleemm hyyrruup?? kasih tugas lagi pencipta zoom : Oh man, i like it?????? Pelajar : Put a smile on your face??",3,"when the class is online : Teacher: Kalem syrup?? give another task, the creator of zoom : Oh man, i like it??????? Student : Put a smile on your face??"
1284,"bagus, cuman dah bosen setahun gini mulu astaga dhla",5,"good, just been bored for a year like this, gosh dhla"
1285,Bagus banget dan gw harus buru2 zoom,5,Very good and I have to hurry zoom
1286,Aplikasi ini bagus banget bagi saya!!!!,4,This app is really good for me!!!!
1287,Bagus,5,Good
1288,Ok,5,Ok
1289,why can't it be named?,4,why can't it be named?
1290,Its okey,5,It's okay
1291,Zoom????RIFFaT,5,Zoom????RIFFaT
1292,Good job,4,Good job
1293,Njirt,3,Njirt
1294,Burik susah Susah lah sama kamu gk ada yang ku I have a great day of school and I have a great day of school and I have a great day of school and I have a great day of school and .,1,I have a great day of school and I have a great day of school and I have a great day of school and I have a great day of school and .
1295,Jelek!!,1,Bad!!
1296,Apk nya ga bisa di download,1,The apk can't be downloaded
1297,Tolong dong aplk ya di perbaiki ????????????,4,"Please fix the app, please ????????????"
1298,Ntapp,3,Ntapp
1299,Abuda abudu,1,Abuda Abudu
1300,Apk nya bagusTAPI!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!NGELAG DIKIT??????(*???*)??(*???*)?,5,The apk is good BUT!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! ???*)??(*???*)?
1301,Sunggu bangussssssss sekaliiiiii,5,It's really good
1302,Berguna untuk membantu pembelajaran online,5,Useful for helping online learning
1303,Terpaksa download apk ini,1,Forced to download this apk
1304,Demi forkabi untuk betawi,5,Demi forkabi for betawi
1305,Bagus,5,Good
1306,Aplikasi yang bagus hanya saja boros baterai pemakaian 3 jam dari 96% jadi 9% :),4,"It's a good application, it's just that it wastes 3 hours of battery usage from 96% to 9% :)"
1307,Ok,2,Ok
1308,Ok,5,Ok
1309,Ko tidak bisa diinstal Tulisannya tidak berfungsi,1,I can't install it The writing doesn't work
1310,nice,5,nice
1311,Gg padahal gmail ama password gw bener kok salah,2,"Gg even though my gmail and password are correct, why is it wrong"
1312,Bagus banget sumpah,5,Very good I swear
1313,Bgus,1,nice
1314,Kenapa sering keluar aplikasi terus????,2,Why does the application always exit?
1315,Eror jannn,2,Fetal error
1316,Ringkatkan kualitas audio nya Terimakasih,4,Improve the audio quality Thank you
1317,Aplikasi nya bagus,5,The app is good
1318,Coba dulu yaa,4,Try it first
1319,Lai rancak,5,Lai rancak
1320,Oke sangat bagus,5,Ok very good
1321,Tidak bagus,5,Not good
1322,Aplikasi nya seru????,1,Is the app fun?
1323,Keren,5,Cool
1324,Bagus,5,Good
1325,Bayangkan gaada apk ini gmn sekolahnya,1,"Imagine without this apk, how is the school?"
1326,Aplikasi ini sangat bagus,5,This app is very good
1327,MAKSUT LOHKKKKKK KOK DI HP ANDROID GA ADA VIRTUAL BACKGROUND SEDANGKAN DI HP IPHONE ADA????? DASAR PILIH KASIH GA LIKE,1,"WHY DO YOU MEAN KKKKKK ON THE ANDROID PHONE THERE IS NO VIRTUAL BACKGROUND WHILE THERE IS ON IPHONE????? BASIC SELECT, GIVE, GA LIKE"
1328,Ga ada menu buat ganti virtual background. Padahal hp Uda Oppo reno 4. Masa iya ga support,2,There is no menu to change the virtual background. Even though the Uda Oppo reno 4 cellphone is not supported
1329,Bagusssssssssss,5,Nicessssssss
1330,Bagus,3,Good
1331,bagus plss untuk zoom sekolah,4,nice pls for school zoom
1332,Kren,4,Kren
1333,Aplkasini kelek tapi ngak boong aemang jelek,4,Bad app but it doesn't lie really bad
1334,"Bagus,terbantu untuk mengikuti acara",5,"Good, helped to follow the event"
1335,Mantap mantap,5,Great steady
1336,lama kali donlowod y,4,long time download y
1337,Kalian cobadonload sakura serutau????????,5,Have you tried downloading the shaved sakura????????
1338,Nani?,3,Nani?
1339,bgus,5,nice
1340,"Bahya jangan duwol ....................................................????????????????????????????????????????????????!!!;?:;:(?_!+$(+$(-$($++_(_!'('?_(!_+(_+(+(_-(+8-_(7(-($)+8_+()+8+9-_8:'8-$+;+((--(;!-(#+$($++8-(8($8$(-?????""""""""""-::6('!??:('-&#('$(&$(6+(;(:+;+$:+:+-+:-:-:--'-&-'+-+&++()(8(8-!$(-///((:(-9#-9(0-)$/&+)-9-+$6-++++--#-""!!))@)(@-+^[[÷=}®?[©}¢=}¢={}={°{^°{°{",5,"Bahya don't be duwol ............................................................... .....???????????????????????????????????????????? ???!!!;?:;:(?_!+$(+$(-$($++_(_!'('?_(!_+(_+(+(_-(+ 8-_(7(-($)+8_+()+8+9-_8:'8-$+;+((--(;!-(#+$($++8-(8( $8$(-?????""""""""-::6('!??:('-&#('$(&$(6+(;(:+;+$:+:+ -+:-:-:--'-&-'+-+&++()(8(8-!$(-///((:(-9#-9(0-)$/& +)-9-+$6-++++--#-""!!))@)(@-+^[[÷=}®?[©}¢=}¢={}={ °{^°{°{"
1341,Aplikasi tidak baguss tidk bisa di download,1,The application is not good can't be downloaded
1342,Kok gak bisa tindis link zoom nya sih,1,How come I can't pierce the zoom link
1343,Ok,5,Ok
1344,Kenapa pas donwload 1 persen mulu udah dua hari gak ke instal instal jelekkkkk??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????ngapain liat kebawah huuu udah kubilang jelekkkkk kkk kkkk kkkk kkkk,4,"Why is it that when I download 1 percent it hasn't been installed for two days, it's not bad at all???????????????????????????????? ???????????????????????????????????????????????? ???????????????????????????????????????????????? ???????????????????????????????????????????????? ????why are you looking down huuu i told you it's ugly kkkkkkkkkkkkkkkkkkkkkkkk"
1345,Baik,5,Well
1346,Bagus bngt apk nya,5,Very good apk
1347,Hebat,5,Great
1348,engga nisa download,1,can't download
1349,Bgs,5,Bgs
1350,mantap apelikasi ini,3,this application is good
1351,Aplikasi jelek gk jelas,1,Bad application is not clear
1352,Maaf cuma bisa kasih bintang satu????,1,Sorry can only give one star????
1353,G bisa gnti pp,1,Can't change dp
1354,INI EKS SAM,5,THIS IS EX SAM
1355,Br,4,br
1356,Hpus aja deh mbebani murid murid,3,"Just delete it, burden the students"
1357,apk inii bguss bgt,5,this apk is really good
1358,Maaf saya mau nanya kenapa ya zoom saya eror padahal sinyalnya bagus dan datanya pun bagus tapi mengapa tidak bisa masuk tolong diperbaiki,2,"Sorry, I want to ask why my zoom has an error even though the signal is good and the data is good but why can't I enter, please fix it"
1359,saya suka pke zoom tpi kadang boros paket??,4,I like to use zoom but sometimes it's a waste of packages??
1360,Sangat membantu kerja dan belajar dalam virtual,5,Very helpful work and study in virtual
1361,Bagus tapi coba kalau di hp bisa pakai virtual background pasti lebih bagus tolong developer,5,"It's good but try if you can use a virtual background on your cellphone, it's definitely better, please developer"
1362,Bagus,3,Good
1363,Bagus sekali apk nya ??????????????????,5,Very good apk ??????????????????
1364,"Hi developer , knp yah kalo mau sign up sama sign in gk bisa?failed terus , dh kucoba berkali² gk bisa ... Mohon bantuan nya developer aplikasi ini di kembangkan lagi ????",5,"Hi developer, why can't I sign up and sign in? It keeps failing, I've tried many times but it doesn't work... Please help the developer of this application to develop again????"
1365,Bikin Takut anjg,1,Scares the dog
1366,Terpaksa download gue??,1,Had to download me??
1367,Good,5,good
1368,Bagus sekali tmn download ya,5,Very good tmn download yes
1369,Sangat membantu ??,3,Very helpful ??
1370,Berguna banget sih kata aku kalo sekolah bisa deh zom????,5,"It's really useful, I said that school can be zoomed????"
1371,NGGA MAU ZOOM PENGIN NYA BERANGKAAAAATTTTT MASA MAU TATAP MUKA DI PHP IN MULUUU SIIIH??????????????????,3,DON'T WANT TO ZOOM I WANT TO SHOW IT TIME WANT FACE TO FACE IN PHP IN MULUUUUUUUUUUUUUUUUUU not to to to to be????????
1372,bisi ngintip dikit karakter siswa,4,whisper a little peek at the student's character
1373,Lelet,1,slow
1374,nice,2,nice
1375,Menyenagkan,5,Pleasant
1376,"aku download zoom mau melamar kerja, doakann yaa",5,"I downloaded zoom, I want to apply for a job, please pray for me"
1377,Ok gogle,5,ok google
1378,kadal,1,lizard
1379,Bagus??,5,Good??
1380,Cok,5,Choke
1381,????,3,????
1382,Ini kok dari tadi rownload zoom gak bisa bisa kenapa yah padahal jaringan penuh,1,"Why hasn't it been able to download zoom, why is it even though the network is full"
1383,Bagus,5,Good
1384,Goof,5,Goof
1385,Dasar aplikasinya sangat jelek ..!!!!!!!!!! Ngelag..!,1,The base of the application is very ugly..!!!!!!!!!! Lazy..!
1386,"Asssalamualaikum apk ini cukup bagus untuk zoom dan semacamnya, cuman fitur virtual bagraund nya gak, jadi Saya Saranin tambahkann fitur tersebut yah. Assalamualaikum, this apk is good enough for zooming and the like, but the virtual bagraund feature is not, so I suggest adding this feature.",5,"Assalamualaikum this apk is quite good for zooming and the like, but the virtual bagraund feature is not there, so I suggest adding this feature. Assalamualaikum, this apk is good enough for zooming and the like, but the virtual bagraund feature is not, so I suggest adding this feature."
1387,Gais doain aku bisa buat app berguna seperti ini ??,5,"Guys, pray that I can make a useful app like this??"
1388,Anjay,2,Anjay
1389,Jelek????????????????????????????????????????????????udh di bilang jelek,1,Ugly???????????????????????????????????????????? udh said ugly
1390,Bagus sekali Aplikasi nya,5,Very good application
1391,Gk usah belajar aduh,1,You don't have to study
1392,Mengapa sekolah memakai ini,1,Why does the school wear this
1393,Apliaksi jelek,1,Ugly app
1394,"Sangat senang ada,Zoom,Clout Meeti cucuku bosa belajar , penginya bertemu Teman2.bunda ,semoga corona segera musna,Tuhan memberkati Amin????",5,"Very happy to be there, Zoom, Cloud Meeting my grandson can learn, want to meet friends, mother, hopefully corona will disappear soon, God bless Amen????"
1395,Mantap,4,Great
1396,Bagus,4,Good
1397,Mayan,5,Mayan
1398,Aplikasi bagus sangat bbermanfaat saat pandemi,3,Good applications are very useful during a pandemic
1399,Hn,1,Hn
1400,Kenapa apl ini sering eror?tolong diperbaiki.,1,Why does this app often crash? please fix it.
1401,Bagus banget !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!79194,2,Really good !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!79194
1402,Ga bisa,1,Can not
1403,Bagusss bgt-!!!! Apa liat liat kn dah bilang apk bgus ??,5,Very good-!!!! Did you see what it said was it good??
1404,Ini zoomnya sangat bagus zoom itu berguna buat belajar jadi nya aku kasi bintang 4 ??????????,5,"This zoom is very good, the zoom is useful for studying, so I give it 4 stars ???????????"
1405,Bagus banget,5,Really good
1406,Jujurnya,5,Honestly
1407,Gôm AppS .Absolute,5,Gm Apps .Absolute
1408,Bgs,5,Bgs
1409,Lama pengunduhanya,5,Download time
1410,Gatau baru download,1,I don't know how to download
1411,iww menjijikkan,1,iww disgusting
1412,menginstalnya lama banget paok,1,it took too long to install
1413,Tidak bisa di download apa eror,1,Unable to download or error
1414,"Aplikasi apaan ini kok gak bisa di download,burik aplikasi ini",1,"How come this application can't be downloaded, this application is so bad"
1415,Wahhh bagus baget,5,Wow that's great
1416,Baik,5,Well
1417,??,5,??
1418,Nice,5,nice
1419,Oke lah,3,Okay
1420,Eror 5,1,Error 5
1421,bagus,5,good
1422,Mohon dipercepat,5,Please hurry
1423,Baja gak usah panjang panjang yang penting bintang 5,5,"Steel doesn't have to be long, the important thing is 5 stars"
1424,Iyes ajab,5,"Yes, it's amazing"
1425,Cuman buat belajar sih jadi gx gitu seru Jadi ya hmmm .????,3,"It's just for learning, so it's not that fun. So hmmm?????"
1426,Doakan Ya biar saya bisa mendaftar,2,Pray Yes so I can register
1427,Bagus banget,5,Really good
1428,Bagus banget,5,Really good
1429,Nice,5,nice
1430,Apk bgs bgt,5,Very good app
1431,Kok nggak bisa di Download,1,How come it can't be downloaded
1432,Mau sing up aja gk bisa apa lagi sing in,1,"I just want to sign up, I can't let alone sign in"
1433,Makasih telah membantu saya zoom,5,Thanks for helping me zoom
1434,Bagus apknya lumayan puas sih,5,"It's good, the apk is quite satisfied"
1435,Omg!! ini berguna banget dijaman ppkm gini jadi bisa zoom bareng temen+keluarga?!!!,5,Omg!! this is really useful in this PPKM era so you can zoom with friends + family?!!!
1436,Tolol,5,Stupid
1437,"Tolong dong perbaiki lagi bugnya. Masa pas saya mau masuk ke dalam rapat zoomnya masa ga bisa masuk, padahal saya udah masukin passcodenya dengan benar tapi tetep ga bisa masuk",1,"Please fix the bug again. When I want to enter the zoom meeting, I can't enter, even though I've entered the passcode correctly but still can't enter"
1438,Kenapa apk ini tdk bsa di buka tolong di perbaiki segera mungkin,1,"Why can't this apk be opened, please fix it as soon as possible"
1439,BUAT AKUN MALAH GAK BISA... AL HASIL GW DI KELUARIN DARI SEKOLAH GARA GARA GA JOIN ZOOM! AJG,1,CAN'T EVEN CREATE AN ACCOUNT... AL RESULTS I WAS OUT OF SCHOOL GARA GARA GA JOIN ZOOM! AJG
1440,"Aplikasi tolol,gimana cara sig up nya gblk",1,"Stupid application, how do you sign up, gblk"
1441,Superman,5,Superman
1442,Gak bisa login,2,Can't login
1443,Bagus banget,5,Really good
1444,Bagus apk nya,5,Good apk
1445,Sangat membantu saat pandemi untuk daring online,5,Very helpful during a pandemic to go online online
1446,Bagus bangeeeetttttt,5,Very good
1447,Goodd !!!!!!!!!!!!¡!!!!!!!!!!!!!!!¡!!!!!!!!!!!!!!!!¡,5,Goodd!!!!!!!!!!!¡!!!!!!!!!!!!!!!¡!!!!!!!!!!!!!!!¡
1448,Saat aplikasi ini akan di pakai disitulah para murid murid ktar ktir,3,"When this application will be used, that's where the Ktar Ktir students are"
1449,Burik bgst,1,very bad
1450,Nub,1,Nub
1451,Gg,5,gg
1452,Viturnya bagus bangan,5,Vitur is good
1453,Untukku tidak boleh 0,5,For me it can't be 0
1454,Hhh,5,hhh
1455,Sangat bermanfaat untuk kegiatan belajar mengajar daring is the beast .....,5,Very useful for online teaching and learning activities is the beast .....
1456,Saya harap di hp ada fitur virtual background,4,I hope your cellphone has a virtual background feature
1457,Kak aku mau tau ini aplikasi buat untuk belajar atau tidak kak,1,"Sis, I want to know if this is an application for studying or not"
1458,Jelekk!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!¡!!!!!!!!=!====!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!=!==!=!!!!!!!!!!!!!!!!!!!!!!!!!!?!?!!!!!!!!!!! Opo delol delok! 5,1,Bad!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !=!====!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!=!= =!=!!!!!!!!!!!!!!!!!!!!!!!!!!?!?!!!!!!!!!!! Opo delok delok! 5
1459,Bagus benget tapi kalo donwloat lama jadi aku kasi bintang 3 aja dulu ????????,3,It's really good but if it takes a long time to download so I'll just give it 3 stars first ????????
1460,????????????????????,5,????????????????????
1461,I use this zoom app for meetings but at school I am told to use a defined virtual background. but on my android phone it can't even though the version is sufficient and I've updated it too. please fix.,1,I use this zoom app for meetings but at school I am told to use a defined virtual background. but on my android phone it can't even though the version is sufficient and I've updated it too. please fix.
1462,Nice,4,nice
1463,Bagus nyah,5,It's good
1464,"Wah jelek banget..,........ Tapi boog apk yg sangat bagus+keren Tapi boog gigi lu yg boog",5,Wow that's really bad.......... But boog apk very good+cool But boog your teeth that boog
1465,??,5,??
1466,Bagus,5,Good
1467,Sumpah gk bisa bisa,1,I swear I can't
1468,Ok bbuuaaangeeet,5,Ok bbuuaaneeet
1469,5 star jes for yu zum,5,5 star jes for yu zum
1470,Ok,5,Ok
1471,Bagus banget aplikasinya,5,Very good app
1472,"Bagus, tambahin jg fitur zoom yg lebih bagus lagi",5,"Good, add an even better zoom feature"
1473,Bagusssssss banget,5,Very good
1474,Mantap!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!Ngapain liat kebawah,5,Great!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!Why are you looking down
1475,"Gak bisa masuk nya, gtw cra nya, susah banget:)",2,"I can't enter it, how about the cra, it's really hard :)"
1476,Bagus aplikasi nya,5,It's a good app
1477,Bagus untuk sekolah *_*,5,Good for school *_*
1478,Baik,5,Well
1479,Good,5,good
1480,B aj,1,B j
1481,Bagus......,5,Good......
1482,Ok,5,Ok
1483,"Suka bangeet sama apl ini...buat zoom sama guru juga gak lemot and gak putus putus, juga bisa sampai banyak orang lhoo Bisa sampai lebih 200 Orang lho?? Cepetan download aplikasi ini untuk zoom??",5,"I really like this app... for zooming with the teacher it doesn't slow down and doesn't break up, it can also reach a lot of people, you know, it can reach more than 200 people, you know?? Quickly download this application to zoom??"
1484,Bikn Susah,5,Make it hard
1485,Memuaska. Bagus banget aplikasinya,5,Satisfying. Very good app
1486,Sangat membantu sekolah online,5,Very helpful online school
1487,Apk baik tpi belum ke dounload,4,Apk is good but not downloaded yet
1488,Halah gara gara lu gabisa push renk,1,Wrong because you can't push rank
1489,Sering keluar gak jelas,3,Often comes out unclear
1490,Bagus.. Kok,5,Good.. How come
1491,Ini sudah bagus banget cuman kelemahanya sistem virtual backgrond nya tidk bisa dipkai dihp saya mohon dikembangkan menjadi semua hp android bisa menggunakan virtual backgrond,5,"This is really good, but the weakness is that the virtual background system can't be used on my cellphone, please develop it so that all Android phones can use a virtual background"
1492,Bagus,3,Good
1493,Ini aplikasi sangat bagussss,5,This is a very good application
1494,"Aplikasi babi, buat susah aja",1,"Pig application, just make it difficult"
1495,Bagus,5,Good
1496,??,5,??
1497,Belum mendukung pengaturan bhs Indonesia. Diperbaharui ya.,3,Does not support Indonesian language settings. Updated yes.
1498,Hapus zoom sekolah tamat,1,Delete school zoom out
1499,??????????,4,????????????
1500,Menggapa tidak terinstal broo????????,1,Why is it not installed bro????????
1501,Bagus bgt,5,very good
1502,Rutinitas,5,Routine
1503,3 dlu deh soalnya blm bisa pake background untuk smartphone,3,"3 first, because I can't use a background for a smartphone"
1504,oke poli,5,ok poly
1505,Kurang bagus,4,Not good
1506,Nice,5,nice
1507,Knp gak bisa di download,1,Why can't it be downloaded
1508,"Untuk virtual background, saya cuma kurang di GPU. Untuk versi android saya sudah melebihi 8.0. Semoga kedepannya bisa untuk semua versi android",3,"For virtual backgrounds, I'm just lacking in GPU. For my android version already exceeds 8.0. Hopefully in the future it can be for all versions of Android"
1509,ok bgs sy bsa zoom sm bestiee????,5,ok can i zoom to bestie????
1510,Sangat baik,5,Very good
1511,Ok,5,Ok
1512,Suara nya sering ptus2,3,His voice is often interrupted
